category,order_category_pairs,late_rate,on_time_rate,avg_delay_days,median_delay_days,delay_std_days
furniture_mattress_and_upholstery,37,0.13513513513513514,0.8648648648648649,-7.162162162162162,-10.0,11.52416184832139
home_comfort_2,24,0.125,0.875,-8.708333333333334,-11.5,10.523180072610167
audio,348,0.11781609195402298,0.882183908045977,-10.043103448275861,-11.0,9.754383252995964
home_confort,392,0.09438775510204081,0.9056122448979592,-9.762755102040817,-11.0,11.636099598807819
fashion_underwear_beach,117,0.09401709401709402,0.905982905982906,-10.504273504273504,-11.0,8.635955242996184
books_technical,256,0.08203125,0.91796875,-11.33203125,-12.0,9.357135757449141
office_furniture,1254,0.08054226475279107,0.919457735247209,-11.823763955342903,-13.0,12.442110223388894
baby,2809,0.08045567817728728,0.9195443218227127,-11.495550017799928,-12.0,10.752661407372761
christmas_supplies,125,0.08,0.92,-12.184,-13.0,11.4253425162182
portateis_cozinha_e_preparadores_de_alimentos,13,0.07692307692307693,0.9230769230769231,-9.76923076923077,-10.0,6.771925454327915
electronics,2517,0.07628128724672228,0.9237187127532777,-11.016289233214144,-12.0,9.386133180477072
musical_instruments,611,0.07528641571194762,0.9247135842880524,-11.477905073649755,-13.0,11.692820532169797
health_beauty,8649,0.07515319690137588,0.9248468030986241,-11.980922650017343,-13.0,10.115406295511391
furniture_living_room,414,0.0748792270531401,0.9251207729468599,-11.734299516908212,-11.0,11.091384976393888
bed_bath_table,9272,0.0743097497842968,0.9256902502157032,-11.393658326143226,-12.0,10.109075854798672
watches_gifts,5493,0.07391225195703623,0.9260877480429638,-11.79938103040233,-13.0,9.986634530479092
construction_tools_construction,736,0.07336956521739131,0.9266304347826086,-11.097826086956522,-11.0,10.271746900275462
auto,3809,0.07298503544237332,0.9270149645576267,-11.213179312155422,-12.0,11.063259877507226
Unknown,1392,0.07255747126436782,0.9274425287356322,-11.387212643678161,-12.0,10.060574708671911
dvds_blu_ray,56,0.07142857142857142,0.9285714285714286,-13.178571428571429,-14.0,8.555927541996606
furniture_decor,6307,0.07119074044712224,0.9288092595528777,-12.341842397336293,-12.0,11.823652614430973
telephony,4093,0.07109699486928903,0.928903005130711,-11.25800146591742,-12.0,9.538156516288963
food,441,0.07029478458049887,0.9297052154195011,-9.802721088435375,-10.0,11.968883590253167
industry_commerce_and_business,231,0.06926406926406926,0.9307359307359307,-12.264069264069263,-12.0,10.167486922815117
furniture_bedroom,90,0.06666666666666667,0.9333333333333333,-13.333333333333334,-13.0,10.247499009761167
construction_tools_lights,242,0.06611570247933884,0.9338842975206612,-11.50413223140496,-12.0,8.4491389891983
sports_leisure,7530,0.06573705179282868,0.9342629482071713,-11.86905710491368,-13.0,9.712064583459892
perfumery,3088,0.06541450777202072,0.9345854922279793,-12.386658031088082,-13.0,10.147189045098553
stationery,2264,0.06537102473498234,0.9346289752650176,-12.054328621908127,-13.0,10.01228404988068
garden_tools,3448,0.06525522041763342,0.9347447795823666,-11.861948955916473,-13.0,9.7889579732579
books_general_interest,495,0.06464646464646465,0.9353535353535354,-11.896969696969697,-13.0,8.409526294570929
